sha256,score,generator,source
d3f7d0da49062277462e6265e2642b92dad5c47459f85ae86ad70f3b62c0c3f8,0.0000,sid_tampered,sid_set
91eb22560ff75c868a0b83bc42fd97e7c4ea593a30a4e30d7573bab5033d3844,0.0000,sid_tampered,sid_set
e239d5a9fedca4d09cee95e62921aa0af51ddfa5792ae5b5541d05ccad7cbb55,0.0000,sid_tampered,sid_set
3b002297d529b2621e3054a27bcddd32adfd856ef38e90649f23360100437b35,0.0000,sid_tampered,sid_set
b6ecc24ec753d2411d8c7f4d17837e9314231aa95813b07a5af320b874518f8b,0.0000,sid_tampered,sid_set
1c19cd00539bd32bcd5e96db15b25dc08bc443624d4688f43fa419a53d5a7c0e,0.0000,sid_tampered,sid_set
9f68d0c3401f8769350f990efb5ad6701da39ad82d9e5d0983fb2d97cf6d80d0,0.0000,sid_tampered,sid_set
5b1da70ed0a7eb1a1207b01f47b3a060faf6e80d40a3c19a7f2ca76eeae8421b,0.0000,sid_tampered,sid_set
a82692fc823a677fa5992b1833cfd0cf0179ac210b59e993bb27955e55beadd2,0.0000,sid_tampered,sid_set
3c63b1055fed7ad889dc7c2ee3f9653e16f2157746d0e06bb78119b1688de00b,0.0000,sid_tampered,sid_set
6d1e42ae3be29eacc9be78b19f6a701808272fb111a8e031a64c5d2254a81c99,0.0000,sid_tampered,sid_set
9d49a0b265baac96881c022b3847043458ea6a1eb48f385766c2b9ac58be2d74,0.0000,sid_tampered,sid_set
200cd2a5a96c3424df41c33a3e672a67789bb561f06033daf6d35fd9ba28cae8,0.0000,sid_tampered,sid_set
d934fd94df38ae0442b9934d7cfa8d4bf5d32f001c8e81d27281b6fe2cd61022,0.0000,sid_tampered,sid_set
25184bdf719013c5a0b316077fe82b32642eb8bc1e7da0310f21e2d4e2dde18c,0.0000,sid_tampered,sid_set
